country,year,score,log.gdp,social,life.ex,freedom,generosity,corruption,confidence,hemisphere,developing,gdp
Russia,2021,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,0.058407594,0.807839274,0.45699209,N,N,27658.537786699868
Saudi Arabia,2021,6.44529438,10.70742989,0.859361112,64.40000153,0.902473032,-0.101232871,NA,NA,N,N,44686.641586557365
Senegal,2021,4.902830601,8.127270699,0.645179272,60,0.758525133,0.034219597,0.82134825,0.454221755,N,Y,3385.54676787157
Serbia,2021,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.605454803,N,Y,19422.018467333994
Sierra Leone,2021,3.714294434,7.421621799,0.609334111,54.5,0.659139514,0.108862124,0.851488411,0.753032207,N,Y,1671.7425407783305
Singapore,2021,6.586717129,NA,0.876408994,73.80000305,0.878701091,NA,0.144935384,0.89762181,N,N,NA
Slovakia,2021,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.215807587,N,Y,31472.32854960406
Slovenia,2021,6.761220932,10.57335091,0.955252588,71.05000305,0.851086736,0.030901229,0.754198194,0.339235812,N,N,39079.40613870764
South Africa,2021,5.598653793,9.48507309,0.922238767,57.25,0.703564703,-0.142795756,0.891578615,0.508961499,S,Y,13161.78836969197
South Korea,2021,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.433829188,N,N,44008.022683696494
Spain,2021,6.469611168,10.53658772,0.926416755,72.34999847,0.781794965,-0.071897864,0.729346991,0.371703804,N,N,37668.81037433981
Sri Lanka,2021,4.10344696,9.463738441,0.812373936,67.19999695,0.771430016,-0.006883008,0.848541498,0.504923344,N,Y,12883.960453252861
Sweden,2021,7.439280033,10.8734293,0.931819558,72.15000153,0.953379214,0.176988468,0.191473097,0.6335361,N,N,52755.81593749775
Switzerland,2021,7.327672482,11.16012573,0.934393048,72.90000153,0.907875359,0.026588805,0.286672562,0.837848067,N,N,70271.79091095405
Taiwan Province of China,2021,6.246744156,NA,0.866297543,NA,0.818467379,NA,0.675438643,0.437147856,N,N,NA
Tajikistan,2021,5.286824226,8.250254631,0.882888913,62.29999924,NA,-0.064693846,0.498924732,NA,N,Y,3828.600577726765
Tanzania,2021,3.68056798,7.889876366,0.618984401,59.40000153,0.821772814,0.113013744,0.546387076,0.89139092,S,Y,2670.113783421633
Thailand,2021,5.638096809,9.765044212,0.882821918,68.44999695,0.835590303,0.293198258,0.943129361,0.239433169,N,Y,17414.251679594297
Togo,2021,4.036543846,7.679789543,0.603399694,57.20000076,0.618520677,0.041643929,0.765818477,0.547805727,N,Y,2164.1642603986234
Tunisia,2021,4.49948597,9.254252434,0.711321533,67,0.591229916,-0.201641768,0.932745636,0.317189902,N,Y,10448.904652953595
Turkey,2021,4.366639614,10.3303709,0.736194909,68.75,0.44652763,-0.033108227,0.810165942,0.426014364,N,Y,30649.477686632927
Uganda,2021,4.224533558,7.685560226,0.793349564,59.15000153,0.710621119,0.088556364,0.835011721,0.558759928,N,Y,2176.6890699008054
Ukraine,2021,5.311355114,9.462496758,0.879308522,64.55000305,0.769904315,0.170837387,0.922350943,0.213765517,N,Y,12867.97258657066
United Arab Emirates,2021,6.733067513,11.07025528,0.826060593,66.30000305,0.95132792,0.158868521,NA,NA,N,N,64231.9018622811
United Kingdom,2021,6.866961956,10.71970272,0.854029596,70.30000305,0.815077186,0.254903495,0.447526574,0.394753993,N,N,45238.45235566505
United States,2021,6.959087849,11.05517292,0.920008719,65.84999847,0.815734804,0.192203477,0.686591566,0.404625207,N,N,63270.40226302215
Uruguay,2021,6.501700401,10.01091671,0.913873136,67.5,0.8987239,-0.047106676,0.60564214,0.485830873,S,N,22268.239620481167
Uzbekistan,2021,6.18530798,8.941695213,0.895503759,65.30000305,0.927415252,0.188774511,0.661561668,0.912673354,N,Y,7644.144531365272
Venezuela,2021,5.107553005,NA,0.812418044,64.05000305,0.595620394,NA,0.823898435,0.175912097,N,Y,NA
Vietnam,2021,5.540249825,9.028701782,0.799493909,65.5,0.896800399,0.126362011,0.797787547,NA,N,Y,8339.026667439275
Zambia,2021,3.082154989,8.087629318,0.619071007,55.25,0.832573771,0.142836854,0.824030817,0.697677791,S,Y,3253.964304534973
Zimbabwe,2021,3.154578209,8.153247833,0.685150504,54.04999924,0.667636156,-0.109439008,0.756945193,0.665703177,S,Y,3474.645828678611
